#纬度,经度,学校,省份,层次,全国热度排名,类别,类别排名,网址,学校抓取编码
32.90345901,115.7947742,阜阳科技职业学院,安徽,高职高专,2559,理工类,836,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1854.htm,1854
33.85111429,115.7761072,亳州职业技术学院,安徽,高职高专,1847,理工类,585,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1834.htm,1834
31.74103473,116.5164926,安徽国防科技职业学院,安徽,高职高专,1622,理工类,510,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1835.htm,1835
30.5422113,117.1378584,安庆职业技术学院,安徽,高职高专,1978,理工类,628,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1836.htm,1836
31.33131741,118.3785314,安徽艺术职业学院,安徽,高职高专,2367,艺术类,84,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1837.htm,1837
37.56587051,121.2327479,烟台工程职业技术学院,山东,高职高专,1934,理工类,612,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2506.htm,2506
36.6728599,117.5147433,山东凯文科技职业学院,山东,高职高专,2230,理工类,720,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2146.htm,2146
37.46111068,121.4825987,烟台大学文经学院,山东,独立学院,503,综合类,122,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1446.htm,1446
36.45753202,116.0461616,聊城大学东昌学院,山东,独立学院,1295,综合类,340,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2519.htm,2519
36.31070719,120.5124436,青岛理工大学琴岛学院,山东,独立学院,338,理工类,137,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1400.htm,1400
36.65949746,117.047124,山东师范大学历山学院,山东,独立学院,1486,综合类,386,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2518.htm,2518
37.46995546,118.5408129,中国石油大学胜利学院,山东,独立学院,690,理工类,218,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2132.htm,2132
35.4757689,119.5399902,山东外国语职业学院,山东,高职高专,1854,语言类,39,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2144.htm,2144
35.96569268,119.5028382,潍坊工商职业学院,山东,高职高专,2144,综合类,544,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2142.htm,2142
37.46419421,116.3203444,德州职业技术学院,山东,高职高专,2207,综合类,558,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2507.htm,2507
35.10594402,117.1721495,枣庄科技职业学院,山东,高职高专,2338,理工类,763,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2143.htm,2143
38.8205641,115.4987718,河北科技学院,河北,普通本科,1564,理工类,485,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2841.htm,2841
38.85791478,115.4562598,保定电力职业技术学院,河北,高职高专,1436,理工类,438,http://gkcx.eol.cn/schoolhtm/schoolTemple/school660.htm,660
37.10078442,114.4657313,河北机电职业技术学院,河北,高职高专,1529,理工类,469,http://gkcx.eol.cn/schoolhtm/schoolTemple/school731.htm,731
38.72577548,116.0646768,渤海石油职业学院,河北,高职高专,1338,理工类,404,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1200.htm,1200
39.62036091,116.7459163,廊坊职业技术学院,河北,高职高专,1258,综合类,331,http://gkcx.eol.cn/schoolhtm/schoolTemple/school730.htm,730
39.60468466,118.2451908,唐山科技职业技术学院,河北,高职高专,1991,理工类,631,http://gkcx.eol.cn/schoolhtm/schoolTemple/school744.htm,744
38.0237548,114.5380054,石家庄邮电职业技术学院,河北,高职高专,1086,理工类,327,http://gkcx.eol.cn/schoolhtm/schoolTemple/school746.htm,746
38.00626432,114.4778508,河北公安警察职业学院,河北,高职高专,1513,政法类,39,http://gkcx.eol.cn/schoolhtm/schoolTemple/school747.htm,747
38.00116015,114.4784923,石家庄工商职业学院,河北,高职高专,1378,财经类,133,http://gkcx.eol.cn/schoolhtm/schoolTemple/school751.htm,751
38.05892309,114.3578488,石家庄理工职业学院,河北,高职高专,2118,理工类,676,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2311.htm,2311
38.01098009,114.4607264,石家庄科技信息职业学院,河北,高职高专,1835,理工类,581,http://gkcx.eol.cn/schoolhtm/schoolTemple/school728.htm,728
38.88703029,115.5723497,河北大学工商学院,河北,独立学院,569,综合类,140,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1580.htm,1580
38.03917749,114.6181589,河北科技大学理工学院,河北,独立学院,572,理工类,200,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1575.htm,1575
37.99646317,114.4752253,河北师范大学汇华学院,河北,独立学院,737,师范类,90,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1408.htm,1408
38.01292152,114.4643156,河北经贸大学经济管理学院,河北,独立学院,670,财经类,61,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1577.htm,1577
38.02241458,114.5551649,河北医科大学临床学院,河北,独立学院,551,医药类,49,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1576.htm,1576
38.89235452,115.4963567,华北电力大学科技学院,河北,独立学院,543,理工类,193,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1579.htm,1579
28.45599764,115.961803,江西服装学院,江西,普通本科,2057,艺术类,65,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2887.htm,2887
32.12748951,114.0834545,江西科技职业学院,江西,高职高专,1969,综合类,500,http://gkcx.eol.cn/schoolhtm/schoolTemple/school923.htm,923
28.7290794,115.7382128,南昌职业学院,江西,高职高专,1392,综合类,360,http://gkcx.eol.cn/schoolhtm/schoolTemple/school909.htm,909
28.61663955,115.7666117,南昌工学院,江西,普通本科,1478,民族类,14,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2843.htm,2843
28.75081234,115.8937642,江西外语外贸职业学院,江西,高职高专,1668,其它,509,http://gkcx.eol.cn/schoolhtm/schoolTemple/school926.htm,926
28.66041642,115.793514,江西工业贸易职业技术学院,江西,高职高专,2154,综合类,547,http://gkcx.eol.cn/schoolhtm/schoolTemple/school900.htm,900
27.80396809,114.3758711,宜春职业技术学院,江西,高职高专,1908,综合类,490,http://gkcx.eol.cn/schoolhtm/schoolTemple/school908.htm,908
27.62586852,113.9894147,江西应用工程职业学院,江西,高职高专,2188,理工类,703,http://gkcx.eol.cn/schoolhtm/schoolTemple/school917.htm,917
28.56864756,115.9469014,江西生物科技职业学院,江西,高职高专,2112,农林类,96,http://gkcx.eol.cn/schoolhtm/schoolTemple/school925.htm,925
28.72224256,115.8568134,江西建设职业技术学院,江西,高职高专,1619,理工类,508,http://gkcx.eol.cn/schoolhtm/schoolTemple/school955.htm,955
27.99006819,116.4523102,抚州职业技术学院,江西,高职高专,2389,理工类,917,http://gkcx.eol.cn/schoolhtm/schoolTemple/school914.htm,914
28.6805411,115.9511618,南昌大学科学技术学院,江西,独立学院,1093,综合类,290,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2427.htm,2427
28.69336845,115.9678153,南昌大学共青学院,江西,独立学院,998,综合类,258,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2439.htm,2439
28.71166962,115.8379051,华东交通大学理工学院,江西,普通本科,1012,理工类,306,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2430.htm,2430
27.99295706,116.3580984,东华理工大学长江学院,江西,独立学院,1422,理工类,435,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2432.htm,2432
28.66228543,115.9520318,南昌航空大学科技学院,江西,独立学院,1384,理工类,419,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2433.htm,2433
25.84151713,114.9254852,江西理工大学应用科学学院,江西,独立学院,1305,理工类,389,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2431.htm,2431
29.29925141,117.2566826,景德镇陶瓷大学科技艺术学院,江西,独立学院,1741,理工类,551,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2437.htm,2437
28.75760795,115.8588079,江西农业大学南昌商学院,江西,独立学院,1406,综合类,362,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2428.htm,2428
28.68347115,115.9299425,江西师范大学科学技术学院,江西,独立学院,1287,综合类,336,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2429.htm,2429
43.86985392,125.3361202,赣南师范大学科技学院,江西,独立学院,1770,师范类,174,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2436.htm,2436
28.70968905,115.9242557,江西财经大学现代经济管理学院,江西,独立学院,1023,财经类,91,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2435.htm,2435
45.8730841,126.531837,黑龙江生物科技职业学院,黑龙江,高职高专,1465,综合类,380,http://gkcx.eol.cn/schoolhtm/schoolTemple/school743.htm,743
44.59718853,129.595019,黑龙江商业职业学院,黑龙江,高职高专,2108,财经类,210,http://gkcx.eol.cn/schoolhtm/schoolTemple/school741.htm,741
45.87618656,126.5456362,黑龙江公安警官职业学院,黑龙江,高职高专,2596,政法类,70,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2193.htm,2193
45.66942874,126.6303205,黑龙江信息技术职业学院,黑龙江,高职高专,2195,理工类,707,http://gkcx.eol.cn/schoolhtm/schoolTemple/school760.htm,760
45.64665081,126.8069421,哈尔滨江南职业技术学院,黑龙江,高职高专,2313,综合类,587,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2200.htm,2200
45.75679016,127.1979049,黑龙江农垦科技职业学院,黑龙江,高职高专,1919,农林类,63,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2659.htm,2659
26.00625235,119.4505367,阳光学院,福建,普通本科,1003,理工类,301,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1889.htm,1889
24.37311112,118.0548734,厦门大学嘉庚学院,福建,独立学院,325,综合类,83,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1888.htm,1888
26.08112161,119.2785273,福州大学至诚学院,福建,独立学院,840,理工类,890,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1893.htm,1893
24.59498152,118.1011863,集美大学诚毅学院,福建,独立学院,624,其它,498,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1214.htm,1214
26.02895356,119.2131446,福建师范大学协和学院,福建,独立学院,1057,综合类,279,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1890.htm,1890
34.75493976,113.7244867,河南检察职业学院,河南,高职高专,1875,政法类,57,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1930.htm,1930
34.42475777,115.6929644,商丘工学院,河南,普通本科,864,理工类,256,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1161.htm,1161
34.82559729,114.3099494,河南大学民生学院,河南,独立学院,426,综合类,785,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1324.htm,1324
35.30062082,114.0758073,河南师范大学新联学院,河南,独立学院,685,师范类,81,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1530.htm,1530
32.12858231,114.085491,信阳学院,河南,普通本科,809,综合类,802,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1532.htm,1532
36.11026672,114.3518065,安阳学院,河南,独立学院,1461,综合类,779,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2448.htm,2448
35.28815338,113.9388838,新乡医学院三全学院,河南,独立学院,627,医药类,61,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1941.htm,1941
